,school_name,level_of_schooling,school_gender,suburb,latitude,longitude
127,Bonville Public School,Primary School,Coed,Bonville ,-30.3798,153.0323
128,Boolaroo Public School,Primary School,Coed,Boolaroo ,-32.9512,151.6228
129,Booligal Public School,Primary School,Coed,Booligal ,-33.867,144.8864
130,Boomi Public School,Primary School,Coed,Boomi ,-28.7241,149.5773
131,Booral Public School,Primary School,Coed,Booral ,-32.4714,151.9607
132,Boorowa Central School,Central/Community School,Coed,Boorowa ,-34.4367,148.7261
133,Boree Creek Public School,Primary School,Coed,Boree Creek ,-35.1059,146.6063
134,Boronia Park Public School,Primary School,Coed,Hunters Hill,-33.8214,151.1356
135,Bossley Park Public School,Primary School,Coed,Bossley Park ,-33.8585,150.8831
136,Botany Public School,Primary School,Coed,Botany ,-33.9432,151.1947
137,Bourke Public School,Primary School,Coed,Bourke,-30.0935,145.9497
138,Norfolk Island Central School,Other School,Coed,Norfolk Island,-29.0415,167.9655
139,Bowning Public School,Primary School,Coed,Bowning ,-34.7694,148.8115
140,Bowral Public School,Primary School,Coed,Bowral ,-34.4812,150.4192
141,Bowraville Central School,Central/Community School,Coed,Bowraville,-30.6453,152.8539
142,Braidwood Central School,Central/Community School,Coed,Braidwood ,-35.4406,149.7989
143,Branxton Public School,Primary School,Coed,Branxton,-32.6594,151.3507
144,Breadalbane Public School,Primary School,Coed,Breadalbane,-34.7905,149.4876
145,Colo Heights Public School,Primary School,Coed,Colo Heights,-33.373,150.7398
146,Bredbo Public School,Primary School,Coed,Bredbo ,-35.954,149.148
147,Brewarrina Central School,Central/Community School,Coed,Brewarrina,-29.9637,146.8591
148,Bribbaree Public School,Primary School,Coed,Bribbaree ,-34.1204,147.8747
149,Brighton-Le-Sands Public School,Primary School,Coed,Brighton-Le-Sands,-33.9624,151.1489
150,Bringelly Public School,Primary School,Coed,Bringelly,-33.9379,150.7303
151,Broadwater Public School,Primary School,Coed,Broadwater ,-29.0028,153.4373
152,Brocklesby Public School,Primary School,Coed,Brocklesby,-35.8239,146.678
153,Broke Public School,Primary School,Coed,Broke ,-32.745,151.1043
154,Broken Hill Public School,Primary School,Coed,Broken Hill ,-31.9561,141.4565
155,Broken Hill North Public School,Primary School,Coed,Broken Hill ,-31.9445,141.4715
156,Bronte Public School,Primary School,Coed,Bronte ,-33.9006,151.262
157,Brooklyn Public School,Primary School,Coed,Brooklyn ,-33.5484,151.215
158,Brookvale Public School,Primary School,Coed,Brookvale ,-33.7617,151.2708
159,Brungle Public School,Primary School,Coed,Brungle ,-35.1568,148.2336
160,Brunswick Heads Public School,Primary School,Coed,Brunswick Heads ,-28.5413,153.5508
161,Bulahdelah Central School,Central/Community School,Coed,Bulahdelah ,-32.4134,152.2119
162,Bulli Public School,Primary School,Coed,Bulli ,-34.327,150.9127
163,Bundanoon Public School,Primary School,Coed,Bundanoon ,-34.6579,150.3004
164,Bundarra Central School,Central/Community School,Coed,Bundarra,-30.1684,151.0776
