Suburb,Date,Number of Sales,Price
DEE WHY (2099) (House),Oct '15 - Sep '16,56  ,167000000  
EARLWOOD (2206) (House),Oct '15 - Sep '16,129  ,13000000  
ERSKINEVILLE (2043) (House),Oct '15 - Sep '16,62  ,13000000  
GLADESVILLE (2111) (House),Oct '15 - Sep '16,90  ,172000000  
GREENWICH (2065) (House),Oct '15 - Sep '16,47  ,24000000  
KILLARA (2071) (House),Oct '15 - Sep '16,114  ,26000000  
LA PEROUSE (2036) (House),Oct '15 - Sep '16,4  ,175000000  
LONGUEVILLE (2066) (House),Oct '15 - Sep '16,16  ,32000000  
MARRICKVILLE (2204) (House),Oct '15 - Sep '16,189  ,125000000  
MINCHINBURY (2770) (House),Oct '15 - Sep '16,57  ,670000  
MOUNT DRUITT (2770) (House),Oct '15 - Sep '16,98  ,627000  
NORTH BONDI (2026) (House),Oct '15 - Sep '16,83  ,26000000  
PADSTOW (2211) (House),Oct '15 - Sep '16,136  ,950000  
PETERSHAM (2049) (House),Oct '15 - Sep '16,66  ,136000000  
PYRMONT (2009) (House),Oct '15 - Sep '16,10  ,157000000  
REDFERN (2016) (House),Oct '15 - Sep '16,96  ,139000000  
ROSE BAY (2029) (House),Oct '15 - Sep '16,75  ,325000000  
RUSHCUTTERS BAY (2011) (House),Oct '15 - Sep '16,0  ,
ST ANDREWS (2566) (House),Oct '15 - Sep '16,76  ,568000  
STRATHFIELD (2135) (House),Oct '15 - Sep '16,158  ,223000000  
SYLVANIA (2224) (House),Oct '15 - Sep '16,77  ,119000000  
TURRAMURRA (2074) (House),Oct '15 - Sep '16,190  ,173000000  
WAREEMBA (2046) (House),Oct '15 - Sep '16,10  ,19000000  
WESTMEAD (2145) (House),Oct '15 - Sep '16,35  ,12000000  
WOOLLOOMOOLOO (2011) (House),Oct '15 - Sep '16,13  ,162000000  
YENNORA (2161) (House),Oct '15 - Sep '16,15  ,715000  
ALLAMBIE HEIGHTS (2100) (House),Oct '15 - Sep '16,78  ,144000000  
ANNANGROVE (2156) (House),Oct '15 - Sep '16,21  ,23000000  
ASHCROFT (2168) (House),Oct '15 - Sep '16,39  ,585000  
AVALON BEACH (2107) (House),Oct '15 - Sep '16,171  ,155000000  
BANKSTOWN (2200) (House),Oct '15 - Sep '16,116  ,900000  
BELLA VISTA (2153) (House),Oct '15 - Sep '16,90  ,142000000  
BONDI (2026) (House),Oct '15 - Sep '16,46  ,231000000  
CABRAMATTA (2166) (House),Oct '15 - Sep '16,68  ,789000  
CHATSWOOD (2067) (House),Oct '15 - Sep '16,137  ,22000000  
CRONULLA (2230) (House),Oct '15 - Sep '16,65  ,197000000  
DOUBLE BAY (2028) (House),Oct '15 - Sep '16,40  ,348000000  
EASTERN CREEK (2766) (House),Oct '15 - Sep '16,9  ,590000  
FAIRFIELD (2165) (House),Oct '15 - Sep '16,101  ,730000  
GLEBE (2037) (House),Oct '15 - Sep '16,80  ,172000000  
GYMEA (2227) (House),Oct '15 - Sep '16,48  ,114000000  
KINGSFORD (2032) (House),Oct '15 - Sep '16,78  ,199000000  
LAKEMBA (2195) (House),Oct '15 - Sep '16,43  ,880000  
MACQUARIE PARK (2113) (House),Oct '15 - Sep '16,1  ,22000000  
MASCOT (2020) (House),Oct '15 - Sep '16,60  ,128000000  
MINTO (2566) (House),Oct '15 - Sep '16,184  ,580000  
NARRABEEN (2101) (House),Oct '15 - Sep '16,21  ,215000000  
NORTH SYDNEY (2060) (House),Oct '15 - Sep '16,23  ,197000000  
PAGEWOOD (2035) (House),Oct '15 - Sep '16,35  ,161000000  
POINT PIPER (2027) (House),Oct '15 - Sep '16,8  ,895000000  
QUAKERS HILL (2763) (House),Oct '15 - Sep '16,280  ,715000  
REVESBY (2212) (House),Oct '15 - Sep '16,136  ,928000  
ROSEBERY (2018) (House),Oct '15 - Sep '16,67  ,18000000  
RYDE (2112) (House),Oct '15 - Sep '16,196  ,14000000  
ST IVES (2075) (House),Oct '15 - Sep '16,257  ,178000000  
SURRY HILLS (2010) (House),Oct '15 - Sep '16,89  ,152000000  
TAMARAMA (2026) (House),Oct '15 - Sep '16,11  ,355000000  
ULTIMO (2007) (House),Oct '15 - Sep '16,17  ,151000000  
WARWICK FARM (2170) (House),Oct '15 - Sep '16,10  ,634000  
WILLOUGHBY (2068) (House),Oct '15 - Sep '16,63  ,202000000  
WOOLOOWARE (2230) (House),Oct '15 - Sep '16,40  ,15000000  
YOWIE BAY (2228) (House),Oct '15 - Sep '16,30  ,147000000  
ALLAWAH (2218) (House),Oct '15 - Sep '16,15  ,14000000  
ARCADIA (2159) (House),Oct '15 - Sep '16,15  ,194000000  
ASHFIELD (2131) (House),Oct '15 - Sep '16,86  ,152000000  
BADGERYS CREEK (2555) (House),Oct '15 - Sep '16,1  ,12000000  
BARANGAROO (2000) (House),Oct '15 - Sep '16,2  ,242000000  
BELLEVUE HILL (2023) (House),Oct '15 - Sep '16,94  ,462000000  
BONDI BEACH (2026) (House),Oct '15 - Sep '16,35  ,24000000  
CAMDEN (2570) (House),Oct '15 - Sep '16,56  ,626000  
CHIFLEY (2036) (House),Oct '15 - Sep '16,20  ,159000000  
CROWS NEST (2065) (House),Oct '15 - Sep '16,37  ,18000000  
DOVER HEIGHTS (2030) (House),Oct '15 - Sep '16,46  ,33000000  
EASTGARDENS (2036) (House),Oct '15 - Sep '16,11  ,15000000  
FIVE DOCK (2046) (House),Oct '15 - Sep '16,65  ,16000000  
GLENHAVEN (2156) (House),Oct '15 - Sep '16,69  ,137000000  
ILLAWONG (2234) (House),Oct '15 - Sep '16,71  ,118000000  
KINGSGROVE (2208) (House),Oct '15 - Sep '16,126  ,121000000  
LANE COVE (2066) (House),Oct '15 - Sep '16,88  ,182000000  
MALABAR (2036) (House),Oct '15 - Sep '16,30  ,193000000  
MATRAVILLE (2036) (House),Oct '15 - Sep '16,56  ,171000000  
MIRANDA (2228) (House),Oct '15 - Sep '16,126  ,117000000  
NEUTRAL BAY (2089) (House),Oct '15 - Sep '16,28  ,208000000  
OATLEY (2223) (House),Oct '15 - Sep '16,114  ,153000000  
PARRAMATTA (2150) (House),Oct '15 - Sep '16,33  ,900000  
POTTS POINT (2011) (House),Oct '15 - Sep '16,10  ,503000000  
QUEENS PARK (2022) (House),Oct '15 - Sep '16,47  ,225000000  
RIVERVIEW (2066) (House),Oct '15 - Sep '16,44  ,206000000  
ROSEVILLE (2069) (House),Oct '15 - Sep '16,106  ,225000000  
SANS SOUCI (2219) (House),Oct '15 - Sep '16,78  ,154000000  
ST MARYS (2760) (House),Oct '15 - Sep '16,162  ,574000  
SUTHERLAND (2232) (House),Oct '15 - Sep '16,51  ,11000000  
TAREN POINT (2229) (House),Oct '15 - Sep '16,9  ,232000000  
VAUCLUSE (2030) (House),Oct '15 - Sep '16,118  ,438000000  
WATERLOO (2017) (House),Oct '15 - Sep '16,16  ,12000000  
WINDSOR (2756) (House),Oct '15 - Sep '16,26  ,598000  
WINDSOR (2756) (House),Oct '15 - Sep '16,26  ,598000  
ZETLAND (2017) (House),Oct '15 - Sep '16,11  ,173000000  
AMBARVALE (2560) (House),Oct '15 - Sep '16,87  ,522000  
ARNCLIFFE (2205) (House),Oct '15 - Sep '16,58  ,113000000  
ABBOTSBURY (2176) (House),Oct '16 - Sep '17,34  ,984000  
ARNDELL PARK (2148) (House),Oct '16 - Sep '17,0  ,
ASQUITH (2077) (House),Oct '16 - Sep '17,52  ,139000000  
BALGOWLAH (2093) (House),Oct '16 - Sep '17,55  ,217000000  
BAULKHAM HILLS (2153) (House),Oct '16 - Sep '17,345  ,122000000  
BEXLEY (2207) (House),Oct '16 - Sep '17,123  ,129000000  
BRIGHTON-LE-SANDS (2216) (House),Oct '16 - Sep '17,40  ,151000000  
CANTERBURY (2193) (House),Oct '16 - Sep '17,35  ,133000000  
CLOVELLY (2031) (House),Oct '16 - Sep '17,60  ,32000000  
DACEYVILLE (2032) (House),Oct '16 - Sep '17,0  ,
DRUMMOYNE (2047) (House),Oct '16 - Sep '17,79  ,23000000  
EDGECLIFF (2027) (House),Oct '16 - Sep '17,10  ,258000000  
FORESTVILLE (2087) (House),Oct '16 - Sep '17,59  ,17000000  
FRESHWATER (2096) (House),Oct '16 - Sep '17,64  ,235000000  
JORDAN SPRINGS (NA) (House),Oct '16 - Sep '17,233  ,725000  
KOGARAH (2217) (House),Oct '16 - Sep '17,71  ,177000000  
LINDFIELD (2070) (House),Oct '16 - Sep '17,104  ,265000000  
MANLY (2095) (House),Oct '16 - Sep '17,59  ,312000000  
MENAI (2234) (House),Oct '16 - Sep '17,126  ,106000000  
MONTEREY (2217) (House),Oct '16 - Sep '17,34  ,157000000  
NEWINGTON (2127) (House),Oct '16 - Sep '17,48  ,135000000  
OYSTER BAY (2225) (House),Oct '16 - Sep '17,66  ,139000000  
PENRITH (2750) (House),Oct '16 - Sep '17,136  ,722000  
PUNCHBOWL (2196) (House),Oct '16 - Sep '17,146  ,890000  
RAMSGATE (2217) (House),Oct '16 - Sep '17,8  ,146000000  
RIVERWOOD (2210) (House),Oct '16 - Sep '17,75  ,11000000  
ROSEHILL (2142) (House),Oct '16 - Sep '17,11  ,930000  
SEVEN HILLS (2147) (House),Oct '16 - Sep '17,241  ,782000  
ST PETERS (2044) (House),Oct '16 - Sep '17,35  ,13000000  
SYDENHAM (2044) (House),Oct '16 - Sep '17,19  ,122000000  
TEMPE (2044) (House),Oct '16 - Sep '17,53  ,126000000  
VILLAWOOD (2163) (House),Oct '16 - Sep '17,38  ,805000  
WATSONS BAY (2030) (House),Oct '16 - Sep '17,10  ,334000000  
WOLLI CREEK (2205) (House),Oct '16 - Sep '17,1  ,890000  
WOOLWICH (2110) (House),Oct '16 - Sep '17,5  ,585000000  
ALEXANDRIA (2015) (House),Oct '16 - Sep '17,80  ,182000000  
ANGUS (2765) (House),Oct '16 - Sep '17,1  ,250000  
ARTARMON (2064) (House),Oct '16 - Sep '17,28  ,27000000  
AUBURN (2144) (House),Oct '16 - Sep '17,175  ,955000  
BALMAIN EAST (2041) (House),Oct '16 - Sep '17,12  ,285000000  
BEACON HILL (2100) (House),Oct '16 - Sep '17,82  ,157000000  
BIRCHGROVE (2041) (House),Oct '16 - Sep '17,47  ,23000000  
BONDI JUNCTION (2022) (House),Oct '16 - Sep '17,58  ,226000000  
CARSS PARK (2221) (House),Oct '16 - Sep '17,10  ,169000000  
COLLAROY (2097) (House),Oct '16 - Sep '17,52  ,233000000  
DARLINGHURST (2010) (House),Oct '16 - Sep '17,73  ,208000000  
DULWICH HILL (2203) (House),Oct '16 - Sep '17,69  ,15000000  
ENMORE (2042) (House),Oct '16 - Sep '17,56  ,154000000  
FRENCHS FOREST (2086) (House),Oct '16 - Sep '17,147  ,165000000  
GREENACRE (2190) (House),Oct '16 - Sep '17,225  ,940000  
KELLYVILLE (2155) (House),Oct '16 - Sep '17,333  ,127000000  
KURNELL (2231) (House),Oct '16 - Sep '17,32  ,121000000  
LIVERPOOL (2170) (House),Oct '16 - Sep '17,122  ,800000  
MAROUBRA (2035) (House),Oct '16 - Sep '17,171  ,204000000  
MILLERS POINT (2000) (House),Oct '16 - Sep '17,20  ,208000000  
MOORE PARK (2021) (House),Oct '16 - Sep '17,0  ,
NEWPORT (2106) (House),Oct '16 - Sep '17,121  ,203000000  
PADDINGTON (2021) (House),Oct '16 - Sep '17,252  ,23000000  
PENSHURST (2222) (House),Oct '16 - Sep '17,75  ,13000000  
PYMBLE (2073) (House),Oct '16 - Sep '17,153  ,243000000  
RANDWICK (2031) (House),Oct '16 - Sep '17,146  ,245000000  
ROCKDALE (2216) (House),Oct '16 - Sep '17,42  ,139000000  
ROUSE HILL (2155) (House),Oct '16 - Sep '17,152  ,101000000  
SILVERWATER (2128) (House),Oct '16 - Sep '17,11  ,106000000  
STANMORE (2048) (House),Oct '16 - Sep '17,89  ,169000000  
SYDNEY OLYMPIC PARK (2127) (House),Oct '16 - Sep '17,0  ,
THE ROCKS (2000) (House),Oct '16 - Sep '17,1  ,338000000  
WAHROONGA (2076) (House),Oct '16 - Sep '17,206  ,214000000  
WAVERLEY (2024) (House),Oct '16 - Sep '17,33  ,245000000  
WOOLLAHRA (2025) (House),Oct '16 - Sep '17,88  ,324000000  
YAGOONA (2199) (House),Oct '16 - Sep '17,171  ,870000  
ALFORDS POINT (2234) (House),Oct '16 - Sep '17,36  ,13000000  
ANNANDALE (2038) (House),Oct '16 - Sep '17,109  ,176000000  
ASHBURY (2193) (House),Oct '16 - Sep '17,24  ,17000000  
AUSTRAL (2179) (House),Oct '16 - Sep '17,97  ,446000  
BALMAIN (2041) (House),Oct '16 - Sep '17,127  ,217000000  
BEACONSFIELD (2015) (House),Oct '16 - Sep '17,12  ,166000000  
BLACKTOWN (2148) (House),Oct '16 - Sep '17,584  ,750000  
BROOKVALE (2100) (House),Oct '16 - Sep '17,8  ,151000000  
CASULA (2170) (House),Oct '16 - Sep '17,164  ,810000  
COOGEE (2034) (House),Oct '16 - Sep '17,45  ,295000000  
DEE WHY (2099) (House),Oct '16 - Sep '17,61  ,182000000  
EARLWOOD (2206) (House),Oct '16 - Sep '17,144  ,149000000  
ERSKINEVILLE (2043) (House),Oct '16 - Sep '17,54  ,146000000  
GLADESVILLE (2111) (House),Oct '16 - Sep '17,104  ,201000000  
GREENWICH (2065) (House),Oct '16 - Sep '17,51  ,255000000  
KILLARA (2071) (House),Oct '16 - Sep '17,96  ,284000000  
LA PEROUSE (2036) (House),Oct '16 - Sep '17,1  ,203000000  
LONGUEVILLE (2066) (House),Oct '16 - Sep '17,35  ,475000000  
MARRICKVILLE (2204) (House),Oct '16 - Sep '17,193  ,146000000  
MINCHINBURY (2770) (House),Oct '16 - Sep '17,74  ,760000  
MOUNT DRUITT (2770) (House),Oct '16 - Sep '17,105  ,699000  
NORTH BONDI (2026) (House),Oct '16 - Sep '17,70  ,323000000  
PADSTOW (2211) (House),Oct '16 - Sep '17,148  ,105000000  
PETERSHAM (2049) (House),Oct '16 - Sep '17,66  ,163000000  
PYRMONT (2009) (House),Oct '16 - Sep '17,11  ,165000000  
REDFERN (2016) (House),Oct '16 - Sep '17,76  ,174000000  
ROSE BAY (2029) (House),Oct '16 - Sep '17,60  ,409000000  
RUSHCUTTERS BAY (2011) (House),Oct '16 - Sep '17,2  ,214000000  
ST ANDREWS (2566) (House),Oct '16 - Sep '17,75  ,625000  
STRATHFIELD (2135) (House),Oct '16 - Sep '17,182  ,235000000  
SYLVANIA (2224) (House),Oct '16 - Sep '17,89  ,141000000  
TURRAMURRA (2074) (House),Oct '16 - Sep '17,177  ,202000000  
WAREEMBA (2046) (House),Oct '16 - Sep '17,11  ,204000000  
WESTMEAD (2145) (House),Oct '16 - Sep '17,26  ,144000000  
WOOLLOOMOOLOO (2011) (House),Oct '16 - Sep '17,7  ,18000000  
YENNORA (2161) (House),Oct '16 - Sep '17,9  ,835000  
ALLAMBIE HEIGHTS (2100) (House),Oct '16 - Sep '17,74  ,167000000  
ANNANGROVE (2156) (House),Oct '16 - Sep '17,17  ,265000000  
ASHCROFT (2168) (House),Oct '16 - Sep '17,26  ,645000  
AVALON BEACH (2107) (House),Oct '16 - Sep '17,144  ,17000000  
BANKSTOWN (2200) (House),Oct '16 - Sep '17,141  ,975000  
BELLA VISTA (2153) (House),Oct '16 - Sep '17,83  ,17000000  
BONDI (2026) (House),Oct '16 - Sep '17,37  ,25000000  
CABRAMATTA (2166) (House),Oct '16 - Sep '17,66  ,893000  
CHATSWOOD (2067) (House),Oct '16 - Sep '17,125  ,245000000  
CRONULLA (2230) (House),Oct '16 - Sep '17,84  ,23000000  
DOUBLE BAY (2028) (House),Oct '16 - Sep '17,20  ,398000000  
EASTERN CREEK (2766) (House),Oct '16 - Sep '17,10  ,670000  
FAIRFIELD (2165) (House),Oct '16 - Sep '17,92  ,780000  
GLEBE (2037) (House),Oct '16 - Sep '17,78  ,196000000  
GYMEA (2227) (House),Oct '16 - Sep '17,54  ,127000000  
KINGSFORD (2032) (House),Oct '16 - Sep '17,64  ,226000000  
LAKEMBA (2195) (House),Oct '16 - Sep '17,53  ,980000  
MACQUARIE PARK (2113) (House),Oct '16 - Sep '17,1  ,303000000  
MASCOT (2020) (House),Oct '16 - Sep '17,72  ,141000000  
MINTO (2566) (House),Oct '16 - Sep '17,187  ,665000  
NARRABEEN (2101) (House),Oct '16 - Sep '17,27  ,215000000  
NORTH SYDNEY (2060) (House),Oct '16 - Sep '17,21  ,204000000  
PAGEWOOD (2035) (House),Oct '16 - Sep '17,46  ,173000000  
POINT PIPER (2027) (House),Oct '16 - Sep '17,7  ,21000000  
QUAKERS HILL (2763) (House),Oct '16 - Sep '17,283  ,800000  
REVESBY (2212) (House),Oct '16 - Sep '17,155  ,107000000  
ROSEBERY (2018) (House),Oct '16 - Sep '17,39  ,175000000  
RYDE (2112) (House),Oct '16 - Sep '17,193  ,176000000  
ST IVES (2075) (House),Oct '16 - Sep '17,238  ,208000000  
SURRY HILLS (2010) (House),Oct '16 - Sep '17,98  ,166000000  
TAMARAMA (2026) (House),Oct '16 - Sep '17,13  ,62000000  
ULTIMO (2007) (House),Oct '16 - Sep '17,11  ,17000000  
WARWICK FARM (2170) (House),Oct '16 - Sep '17,17  ,755000  
WILLOUGHBY (2068) (House),Oct '16 - Sep '17,91  ,233000000  
WOOLOOWARE (2230) (House),Oct '16 - Sep '17,38  ,183000000  
YOWIE BAY (2228) (House),Oct '16 - Sep '17,31  ,191000000  
ALLAWAH (2218) (House),Oct '16 - Sep '17,13  ,115000000  
ARCADIA (2159) (House),Oct '16 - Sep '17,24  ,193000000  
ASHFIELD (2131) (House),Oct '16 - Sep '17,74  ,171000000  
BADGERYS CREEK (2555) (House),Oct '16 - Sep '17,3  ,33000000  
BARANGAROO (2000) (House),Oct '16 - Sep '17,0  ,
BELLEVUE HILL (2023) (House),Oct '16 - Sep '17,73  ,555000000  
BONDI BEACH (2026) (House),Oct '16 - Sep '17,35  ,265000000  
CAMDEN (2570) (House),Oct '16 - Sep '17,40  ,752000  
CHIFLEY (2036) (House),Oct '16 - Sep '17,23  ,182000000  
CROWS NEST (2065) (House),Oct '16 - Sep '17,59  ,225000000  
DOVER HEIGHTS (2030) (House),Oct '16 - Sep '17,41  ,441000000  
EASTGARDENS (2036) (House),Oct '16 - Sep '17,7  ,13000000  
FIVE DOCK (2046) (House),Oct '16 - Sep '17,69  ,179000000  
GLENHAVEN (2156) (House),Oct '16 - Sep '17,90  ,169000000  
ILLAWONG (2234) (House),Oct '16 - Sep '17,78  ,13000000  
KINGSGROVE (2208) (House),Oct '16 - Sep '17,117  ,135000000  
LANE COVE (2066) (House),Oct '16 - Sep '17,78  ,223000000  
MALABAR (2036) (House),Oct '16 - Sep '17,30  ,21000000  
MATRAVILLE (2036) (House),Oct '16 - Sep '17,73  ,18000000  
MIRANDA (2228) (House),Oct '16 - Sep '17,152  ,135000000  
NEUTRAL BAY (2089) (House),Oct '16 - Sep '17,45  ,22000000  
OATLEY (2223) (House),Oct '16 - Sep '17,107  ,166000000  
PARRAMATTA (2150) (House),Oct '16 - Sep '17,37  ,13000000  
POTTS POINT (2011) (House),Oct '16 - Sep '17,6  ,341000000  
QUEENS PARK (2022) (House),Oct '16 - Sep '17,39  ,25000000  
RIVERVIEW (2066) (House),Oct '16 - Sep '17,38  ,271000000  
ROSEVILLE (2069) (House),Oct '16 - Sep '17,96  ,29000000  
SANS SOUCI (2219) (House),Oct '16 - Sep '17,97  ,15000000  
ST MARYS (2760) (House),Oct '16 - Sep '17,124  ,655000  
SUTHERLAND (2232) (House),Oct '16 - Sep '17,54  ,126000000  
TAREN POINT (2229) (House),Oct '16 - Sep '17,16  ,16000000  
VAUCLUSE (2030) (House),Oct '16 - Sep '17,98  ,462000000  
WATERLOO (2017) (House),Oct '16 - Sep '17,15  ,133000000  
WINDSOR (2756) (House),Oct '16 - Sep '17,31  ,720000  
WINDSOR (2756) (House),Oct '16 - Sep '17,31  ,720000  
ZETLAND (2017) (House),Oct '16 - Sep '17,13  ,151000000  
AMBARVALE (2560) (House),Oct '16 - Sep '17,72  ,582000  
ARNCLIFFE (2205) (House),Oct '16 - Sep '17,56  ,133000000  
ABBOTSBURY (2176) (House),Oct '17 - Sep '18,21  ,112000000  
ARNDELL PARK (2148) (House),Oct '17 - Sep '18,0  ,
ASQUITH (2077) (House),Oct '17 - Sep '18,20  ,122000000  
BALGOWLAH (2093) (House),Oct '17 - Sep '18,66  ,21000000  
BAULKHAM HILLS (2153) (House),Oct '17 - Sep '18,308  ,117000000  
BEXLEY (2207) (House),Oct '17 - Sep '18,115  ,12000000  
BRIGHTON-LE-SANDS (2216) (House),Oct '17 - Sep '18,19  ,148000000  
CANTERBURY (2193) (House),Oct '17 - Sep '18,29  ,13000000  
CLOVELLY (2031) (House),Oct '17 - Sep '18,38  ,328000000  
DACEYVILLE (2032) (House),Oct '17 - Sep '18,3  ,14000000  
DRUMMOYNE (2047) (House),Oct '17 - Sep '18,76  ,215000000  
EDGECLIFF (2027) (House),Oct '17 - Sep '18,15  ,173000000  
FORESTVILLE (2087) (House),Oct '17 - Sep '18,66  ,152000000  
FRESHWATER (2096) (House),Oct '17 - Sep '18,65  ,24000000  
JORDAN SPRINGS (NA) (House),Oct '17 - Sep '18,200  ,731000  
KOGARAH (2217) (House),Oct '17 - Sep '18,53  ,13000000  
LINDFIELD (2070) (House),Oct '17 - Sep '18,72  ,262000000  
MANLY (2095) (House),Oct '17 - Sep '18,47  ,338000000  
MENAI (2234) (House),Oct '17 - Sep '18,92  ,106000000  
MONTEREY (2217) (House),Oct '17 - Sep '18,20  ,169000000  
NEWINGTON (2127) (House),Oct '17 - Sep '18,37  ,139000000  
OYSTER BAY (2225) (House),Oct '17 - Sep '18,70  ,121000000  
PENRITH (2750) (House),Oct '17 - Sep '18,119  ,700000  
PUNCHBOWL (2196) (House),Oct '17 - Sep '18,109  ,900000  
RAMSGATE (2217) (House),Oct '17 - Sep '18,11  ,129000000  
RIVERWOOD (2210) (House),Oct '17 - Sep '18,67  ,105000000  
ROSEHILL (2142) (House),Oct '17 - Sep '18,9  ,119000000  
SEVEN HILLS (2147) (House),Oct '17 - Sep '18,196  ,772000  
ST PETERS (2044) (House),Oct '17 - Sep '18,30  ,121000000  
SYDENHAM (2044) (House),Oct '17 - Sep '18,15  ,119000000  
TEMPE (2044) (House),Oct '17 - Sep '18,36  ,113000000  
VILLAWOOD (2163) (House),Oct '17 - Sep '18,41  ,763000  
WATSONS BAY (2030) (House),Oct '17 - Sep '18,8  ,48000000  
WOLLI CREEK (2205) (House),Oct '17 - Sep '18,1  ,31000000  
WOOLWICH (2110) (House),Oct '17 - Sep '18,9  ,485000000  
ALEXANDRIA (2015) (House),Oct '17 - Sep '18,68  ,156000000  
ANGUS (2765) (House),Oct '17 - Sep '18,0  ,
ARTARMON (2064) (House),Oct '17 - Sep '18,22  ,248000000  
AUBURN (2144) (House),Oct '17 - Sep '18,123  ,885000  
BALMAIN EAST (2041) (House),Oct '17 - Sep '18,18  ,315000000  
BEACON HILL (2100) (House),Oct '17 - Sep '18,69  ,15000000  
BIRCHGROVE (2041) (House),Oct '17 - Sep '18,37  ,195000000  
BONDI JUNCTION (2022) (House),Oct '17 - Sep '18,74  ,199000000  
CARSS PARK (2221) (House),Oct '17 - Sep '18,14  ,159000000  
COLLAROY (2097) (House),Oct '17 - Sep '18,44  ,282000000  
DARLINGHURST (2010) (House),Oct '17 - Sep '18,52  ,196000000  
DULWICH HILL (2203) (House),Oct '17 - Sep '18,84  ,147000000  
ENMORE (2042) (House),Oct '17 - Sep '18,40  ,131000000  
FRENCHS FOREST (2086) (House),Oct '17 - Sep '18,131  ,152000000  
GREENACRE (2190) (House),Oct '17 - Sep '18,169  ,950000  
KELLYVILLE (2155) (House),Oct '17 - Sep '18,276  ,117000000  
KURNELL (2231) (House),Oct '17 - Sep '18,27  ,117000000  
LIVERPOOL (2170) (House),Oct '17 - Sep '18,72  ,782000  
MAROUBRA (2035) (House),Oct '17 - Sep '18,157  ,202000000  
MILLERS POINT (2000) (House),Oct '17 - Sep '18,22  ,273000000  
MOORE PARK (2021) (House),Oct '17 - Sep '18,0  ,
NEWPORT (2106) (House),Oct '17 - Sep '18,91  ,185000000  
PADDINGTON (2021) (House),Oct '17 - Sep '18,200  ,235000000  
PENSHURST (2222) (House),Oct '17 - Sep '18,54  ,128000000  
PYMBLE (2073) (House),Oct '17 - Sep '18,132  ,233000000  
RANDWICK (2031) (House),Oct '17 - Sep '18,193  ,246000000  
ROCKDALE (2216) (House),Oct '17 - Sep '18,30  ,122000000  
ROUSE HILL (2155) (House),Oct '17 - Sep '18,108  ,116000000  
SILVERWATER (2128) (House),Oct '17 - Sep '18,11  ,108000000  
STANMORE (2048) (House),Oct '17 - Sep '18,80  ,165000000  
SYDNEY OLYMPIC PARK (2127) (House),Oct '17 - Sep '18,0  ,
THE ROCKS (2000) (House),Oct '17 - Sep '18,0  ,
WAHROONGA (2076) (House),Oct '17 - Sep '18,172  ,188000000  
WAVERLEY (2024) (House),Oct '17 - Sep '18,32  ,244000000  
WOOLLAHRA (2025) (House),Oct '17 - Sep '18,69  ,34000000  
YAGOONA (2199) (House),Oct '17 - Sep '18,116  ,866000  
ALFORDS POINT (2234) (House),Oct '17 - Sep '18,30  ,123000000  
ANNANDALE (2038) (House),Oct '17 - Sep '18,109  ,165000000  
ASHBURY (2193) (House),Oct '17 - Sep '18,34  ,162000000  
AUSTRAL (2179) (House),Oct '17 - Sep '18,107  ,426000  
BALMAIN (2041) (House),Oct '17 - Sep '18,127  ,196000000  
BEACONSFIELD (2015) (House),Oct '17 - Sep '18,17  ,125000000  
BLACKTOWN (2148) (House),Oct '17 - Sep '18,446  ,732000  
BROOKVALE (2100) (House),Oct '17 - Sep '18,13  ,16000000  
CASULA (2170) (House),Oct '17 - Sep '18,128  ,809000  
COOGEE (2034) (House),Oct '17 - Sep '18,46  ,296000000  
DEE WHY (2099) (House),Oct '17 - Sep '18,58  ,163000000  
EARLWOOD (2206) (House),Oct '17 - Sep '18,132  ,135000000  
ERSKINEVILLE (2043) (House),Oct '17 - Sep '18,77  ,131000000  
GLADESVILLE (2111) (House),Oct '17 - Sep '18,101  ,202000000  
GREENWICH (2065) (House),Oct '17 - Sep '18,40  ,26000000  
KILLARA (2071) (House),Oct '17 - Sep '18,62  ,28000000  
LA PEROUSE (2036) (House),Oct '17 - Sep '18,1  ,201000000  
LONGUEVILLE (2066) (House),Oct '17 - Sep '18,27  ,37000000  
MARRICKVILLE (2204) (House),Oct '17 - Sep '18,164  ,136000000  
MINCHINBURY (2770) (House),Oct '17 - Sep '18,43  ,720000  
MOUNT DRUITT (2770) (House),Oct '17 - Sep '18,94  ,678000  
NORTH BONDI (2026) (House),Oct '17 - Sep '18,62  ,273000000  
PADSTOW (2211) (House),Oct '17 - Sep '18,141  ,1000000  
PETERSHAM (2049) (House),Oct '17 - Sep '18,75  ,147000000  
PYRMONT (2009) (House),Oct '17 - Sep '18,10  ,158000000  
REDFERN (2016) (House),Oct '17 - Sep '18,79  ,143000000  
ROSE BAY (2029) (House),Oct '17 - Sep '18,60  ,371000000  
RUSHCUTTERS BAY (2011) (House),Oct '17 - Sep '18,1  ,373000000  
ST ANDREWS (2566) (House),Oct '17 - Sep '18,73  ,640000  
STRATHFIELD (2135) (House),Oct '17 - Sep '18,125  ,262000000  
SYLVANIA (2224) (House),Oct '17 - Sep '18,80  ,131000000  
TURRAMURRA (2074) (House),Oct '17 - Sep '18,129  ,204000000  
WAREEMBA (2046) (House),Oct '17 - Sep '18,17  ,194000000  
WESTMEAD (2145) (House),Oct '17 - Sep '18,22  ,124000000  
